n,p,nnodes,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
500,0.000000,3,1,241311,0,0,0,0,0.081179,0.000291,0.000000,0.001372,0.000005,0.082847
500,0.000000,3,2,241311,0,0,0,0,0.058679,0.000327,0.000003,0.001114,0.000005,0.060129
500,0.000000,3,4,241311,0,0,0,0,0.059088,0.000430,0.000007,0.001092,0.000005,0.060622
500,0.000000,3,8,241311,0,0,0,0,0.048855,0.000595,0.000015,0.003559,0.000005,0.053028
500,0.200000,3,1,241311,30457,17,0,0,0.056717,0.045411,0.000000,0.004842,0.001099,0.108706
500,0.200000,3,2,241311,30457,17,0,0,0.046873,0.025947,0.000317,0.004869,0.001123,0.079963
500,0.200000,3,4,241311,30457,17,0,0,0.057972,0.014060,0.001030,0.005602,0.001270,0.081462
500,0.200000,3,8,241311,30457,17,0,0,0.046977,0.008293,0.002514,0.008340,0.001078,0.069702
500,0.400000,3,1,241311,26394,88,0,0,0.049251,0.041501,0.000000,0.006122,0.004900,0.102495
500,0.400000,3,2,241311,26394,88,0,0,0.048270,0.024875,0.001664,0.005825,0.005203,0.086838
500,0.400000,3,4,241311,26394,88,0,0,0.053697,0.013857,0.005540,0.006498,0.005228,0.086390
500,0.400000,3,8,241311,26394,88,0,0,0.048950,0.009618,0.012404,0.015091,0.005636,0.094546
500,0.600000,3,1,241311,6391,109492,1,1,0.049151,0.016714,0.000000,0.005017,0.006476,0.077584
500,0.600000,3,2,241311,6391,109492,1,1,0.047230,0.009495,0.002015,0.004436,0.006259,0.069687
500,0.600000,3,4,241311,6391,109492,1,1,0.051413,0.005493,0.006592,0.017323,0.006631,0.087916
500,0.600000,3,8,241311,6391,109492,1,1,0.050480,0.003597,0.015921,0.007302,0.006826,0.084817
500,0.800000,3,1,241311,362,199436,1,1,0.047961,0.008461,0.000000,0.001759,0.000624,0.058828
500,0.800000,3,2,241311,362,199436,1,1,0.047362,0.004375,0.000137,0.001670,0.000528,0.054093
500,0.800000,3,4,241311,362,199436,1,1,0.046370,0.002814,0.000622,0.006433,0.000503,0.056791
500,0.800000,3,8,241311,362,199436,1,1,0.055365,0.001776,0.001388,0.005522,0.000471,0.064550
500,1.000000,3,1,241311,1,250000,1,1,0.067222,0.007487,0.000000,0.001113,0.000060,0.075883
500,1.000000,3,2,241311,1,250000,1,1,0.046445,0.003828,0.000034,0.001423,0.000064,0.051796
500,1.000000,3,4,241311,1,250000,1,1,0.048787,0.002533,0.000104,0.001411,0.000072,0.052909
500,1.000000,3,8,241311,1,250000,1,1,0.051890,0.001609,0.000240,0.003881,0.000059,0.057682
1000,0.000000,3,1,241311,0,0,0,0,0.070800,0.001128,0.000000,0.001386,0.000010,0.073324
1000,0.000000,3,2,241311,0,0,0,0,0.075542,0.000842,0.000007,0.001773,0.000010,0.078174
1000,0.000000,3,4,241311,0,0,0,0,0.085713,0.000703,0.000013,0.001491,0.000010,0.087931
1000,0.000000,3,8,241311,0,0,0,0,0.077917,0.001560,0.000029,0.001979,0.000011,0.081495
1000,0.200000,3,2,241311,121507,20,0,0,0.101038,0.196022,0.001400,0.012974,0.004838,0.319767
1000,0.200000,3,4,241311,121507,20,0,0,0.089304,0.106808,0.004310,0.065984,0.004868,0.276760
1000,0.200000,3,8,241311,121507,20,0,0,0.081794,0.056896,0.010531,0.023379,0.004806,0.186484
1000,0.400000,3,1,241311,105773,102,0,0,0.081175,0.335075,0.000000,0.016472,0.020414,0.456198
1000,0.400000,3,2,241311,105773,102,0,0,0.081673,0.177475,0.006645,0.016248,0.020503,0.306717
