n,p,nnodes,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
5000,0.300000,4,8,897761,3203001,56,0,0,1.136355,4.763689,0.732156,1.145302,0.383468,8.588048
5000,0.300000,4,10,897761,3203001,56,0,0,1.117045,4.011440,0.946724,1.121805,0.379313,8.080243
5000,0.300000,4,12,897761,3203001,56,0,0,1.109605,3.509390,1.113785,1.252828,0.371592,7.930878
5000,0.300000,4,14,897761,3203001,56,0,0,1.107074,3.078864,1.331224,1.322567,0.363666,7.826093
5000,0.300000,4,16,897761,3203001,56,0,0,1.141799,2.756826,1.462432,1.474517,0.375690,7.945353
5000,0.300000,4,18,897761,3203001,56,0,0,1.133927,2.520348,1.647888,1.396027,0.369785,7.849290
5000,0.300000,4,20,897761,3203001,56,0,0,1.167931,2.362378,1.937737,1.384311,0.380300,8.009117
5000,0.300000,4,22,897761,3203001,56,0,0,1.137683,2.225573,2.086594,1.573843,0.372674,8.387085
5000,0.300000,4,24,897761,3203001,56,0,0,1.110454,2.110697,2.264578,1.742749,0.366177,8.624535
5000,0.300000,4,26,897761,3203001,56,0,0,1.118168,2.040325,2.495048,1.858278,0.369331,9.041920
5000,0.300000,4,28,897761,3203001,56,0,0,1.124611,2.011428,2.715407,1.969696,0.367992,9.317737
